engine_size,cyl,fuel_consump_city,fuel_consump_hwy,fuel_consump_comb,co2_emissions,fuel_diesel,fuel_ethanol,fuel_natgas,fuel_regular,fuel_premium,class_SUV_minivan,class_compact,class_other,class_sedan_or_similar,class_truck
2.0,4,9.9,6.7,8.5,196,0,0,0,0,1,0,1,0,0,0
2.4,4,11.2,7.7,9.6,221,0,0,0,0,1,0,1,0,0,0
1.5,4,6.0,5.8,5.9,136,0,0,0,0,1,0,1,0,0,0
3.5,6,12.7,9.1,11.1,255,0,0,0,0,1,1,0,0,0,0
3.5,6,12.1,8.7,10.6,244,0,0,0,0,1,1,0,0,0,0
3.5,6,11.9,7.7,10.0,230,0,0,0,0,1,0,0,0,1,0
3.5,6,11.8,8.1,10.1,232,0,0,0,0,1,0,0,0,1,0
3.7,6,12.8,9.0,11.1,255,0,0,0,0,1,0,0,0,1,0
3.7,6,13.4,9.5,11.6,267,0,0,0,0,1,0,0,0,1,0
2.4,4,10.6,7.5,9.2,212,0,0,0,0,1,0,1,0,0,0
2.4,4,11.2,8.1,9.8,225,0,0,0,0,1,0,1,0,0,0
3.5,6,12.1,8.3,10.4,239,0,0,0,0,1,0,1,0,0,0
1.8,4,9.7,6.9,8.4,193,0,0,0,0,1,0,1,0,0,0
5.9,12,18.0,12.6,15.6,359,0,0,0,0,1,0,1,0,0,0
5.9,12,18.0,12.6,15.6,359,0,0,0,0,1,0,1,0,0,0
4.7,8,17.4,11.3,14.7,338,0,0,0,0,1,0,1,0,0,0
4.7,8,18.1,12.2,15.4,354,0,0,0,0,1,0,1,0,0,0
4.7,8,17.4,11.3,14.7,338,0,0,0,0,1,0,1,0,0,0
4.7,8,18.1,12.2,15.4,354,0,0,0,0,1,0,1,0,0,0
5.9,12,18.0,12.6,15.6,359,0,0,0,0,1,0,1,0,0,0
2.0,4,9.9,7.4,8.8,202,0,0,0,0,1,0,1,0,0,0
2.0,4,11.5,8.1,10.0,230,0,0,0,0,1,0,1,0,0,0
2.0,4,10.8,7.5,9.3,214,0,0,0,0,1,0,1,0,0,0
2.0,4,11.5,8.1,10.0,230,0,0,0,0,1,0,1,0,0,0
2.0,4,11.5,8.1,10.0,230,0,0,0,0,1,0,1,0,0,0
2.0,4,10.8,7.5,9.3,214,0,0,0,0,1,0,1,0,0,0
2.0,4,12.0,8.1,10.2,235,0,0,0,0,1,0,0,0,1,0
3.0,6,12.8,8.6,10.9,251,0,0,0,0,1,0,0,0,1,0
3.0,6,9.8,6.2,8.1,217,1,0,0,0,0,0,0,0,1,0
3.0,6,13.3,8.5,11.2,262,0,0,0,0,1,0,0,0,1,0
3.0,6,9.8,6.2,8.1,217,1,0,0,0,0,0,0,0,1,0
3.0,6,13.1,8.8,11.2,258,0,0,0,0,1,0,0,0,1,0
4.0,8,13.7,8.3,11.3,265,0,0,0,0,1,0,0,0,1,0
3.0,6,9.8,6.5,8.4,224,1,0,0,0,0,0,0,0,1,0
3.0,6,13.1,8.8,11.2,258,0,0,0,0,1,0,0,0,1,0
4.0,8,14.7,9.7,12.5,288,0,0,0,0,1,0,0,0,1,0
6.3,12,18.7,11.5,15.5,363,0,0,0,0,1,0,0,0,1,0
3.0,6,9.8,6.5,8.4,224,1,0,0,0,0,0,0,0,1,0
2.0,4,11.8,8.8,10.5,242,0,0,0,0,1,0,0,0,1,0
2.0,4,12.0,8.5,10.4,239,0,0,0,0,1,1,0,0,0,0
3.0,6,12.9,9.2,11.2,258,0,0,0,0,1,1,0,0,0,0
3.0,6,10.2,7.8,9.0,244,1,0,0,0,0,1,0,0,0,0
2.0,4,9.9,8.3,9.2,212,0,0,0,0,1,1,0,0,0,0
3.0,6,15.1,10.9,13.2,304,0,0,0,0,1,1,0,0,0,0
3.0,6,12.4,8.7,10.7,290,1,0,0,0,0,1,0,0,0,0
4.2,8,17.6,11.0,14.6,336,0,0,0,0,1,0,1,0,0,0
4.2,8,21.2,13.4,17.7,407,0,0,0,0,1,0,1,0,0,0
5.2,10,18.2,10.6,14.8,347,0,0,0,0,1,0,1,0,0,0
5.2,10,21.1,13.8,17.8,409,0,0,0,0,1,0,1,0,0,0
4.2,8,17.6,11.0,14.6,336,0,0,0,0,1,0,1,0,0,0
4.2,8,21.2,13.4,17.7,407,0,0,0,0,1,0,1,0,0,0
5.2,10,18.2,10.6,14.8,347,0,0,0,0,1,0,1,0,0,0
5.2,10,21.1,13.8,17.8,409,0,0,0,0,1,0,1,0,0,0
4.2,8,15.3,10.9,13.3,306,0,0,0,0,1,0,1,0,0,0
4.2,8,15.2,11.3,13.4,308,0,0,0,0,1,0,1,0,0,0
4.0,8,15.5,8.8,12.5,293,0,0,0,0,1,0,0,0,1,0
3.0,6,13.2,9.2,11.4,262,0,0,0,0,1,0,1,0,0,0
3.0,6,14.6,9.8,12.4,285,0,0,0,0,1,0,1,0,0,0
3.0,6,13.2,9.2,11.4,262,0,0,0,0,1,0,1,0,0,0
3.0,6,14.6,9.8,12.4,285,0,0,0,0,1,0,1,0,0,0
3.0,6,13.3,9.5,11.6,267,0,0,0,0,1,0,1,0,0,0
4.0,8,14.2,9.7,12.2,281,0,0,0,0,1,0,0,0,1,0
4.0,8,14.2,9.7,12.2,281,0,0,0,0,1,0,0,0,1,0
4.0,8,15.8,9.2,12.8,300,0,0,0,0,1,0,0,0,1,0
3.0,6,14.9,10.1,12.7,292,0,0,0,0,1,1,0,0,0,0
2.0,4,10.4,7.6,9.1,209,0,0,0,0,1,0,1,0,0,0
2.0,4,10.4,7.6,9.1,209,0,0,0,0,1,0,1,0,0,0
2.0,4,11.5,8.8,10.3,237,0,0,0,0,1,0,1,0,0,0
2.0,4,11.5,8.8,10.3,237,0,0,0,0,1,0,1,0,0,0
4.0,8,16.3,9.8,13.4,314,0,0,0,0,1,0,1,0,0,0
6.0,12,18.8,11.5,15.5,356,0,0,0,0,1,0,1,0,0,0
4.0,8,17.4,10.2,14.2,332,0,0,0,0,1,0,1,0,0,0
6.0,12,20.0,12.2,16.5,380,0,0,0,0,1,0,1,0,0,0
6.0,12,20.0,12.2,16.5,380,0,0,0,0,1,0,1,0,0,0
6.0,12,20.3,11.9,16.5,388,0,0,0,0,1,0,0,0,1,0
6.8,8,22.3,14.9,19.0,437,0,0,0,0,1,0,0,0,1,0
2.0,4,10.0,6.5,8.4,193,0,0,0,0,1,0,1,0,0,0
2.0,4,10.4,6.7,8.7,200,0,0,0,0,1,0,1,0,0,0
2.0,4,10.2,7.0,8.8,202,0,0,0,0,1,0,1,0,0,0
2.0,4,7.6,5.5,6.7,181,1,0,0,0,0,0,1,0,0,0
2.0,4,7.6,5.5,6.7,181,1,0,0,0,0,0,0,0,1,0
2.0,4,10.0,6.5,8.4,193,0,0,0,0,1,0,1,0,0,0
2.0,4,10.4,6.7,8.7,200,0,0,0,0,1,0,1,0,0,0
2.0,4,10.6,7.2,9.1,209,0,0,0,0,1,0,1,0,0,0
2.0,4,10.6,7.2,9.1,209,0,0,0,0,1,0,0,0,1,0
2.0,4,10.6,7.2,9.1,209,0,0,0,0,1,0,0,0,1,0
3.0,6,11.4,7.3,9.6,221,0,0,0,0,1,0,1,0,0,0
3.0,6,11.8,7.9,10.0,230,0,0,0,0,1,0,1,0,0,0
3.0,6,11.7,7.8,9.9,228,0,0,0,0,1,0,1,0,0,0
3.0,6,11.9,8.3,10.3,237,0,0,0,0,1,0,1,0,0,0
3.0,6,11.9,8.0,10.1,232,0,0,0,0,1,0,0,0,1,0
2.0,4,10.0,6.5,8.4,193,0,0,0,0,1,0,1,0,0,0
2.0,4,10.4,6.7,8.7,200,0,0,0,0,1,0,1,0,0,0
2.0,4,10.6,7.2,9.1,209,0,0,0,0,1,0,1,0,0,0
3.0,6,11.4,7.3,9.6,221,0,0,0,0,1,0,1,0,0,0
3.0,6,11.8,7.9,10.0,230,0,0,0,0,1,0,1,0,0,0
3.0,6,11.7,7.8,9.9,228,0,0,0,0,1,0,1,0,0,0
3.0,6,11.9,8.3,10.3,237,0,0,0,0,1,0,1,0,0,0
2.0,4,10.2,7.0,8.8,202,0,0,0,0,1,0,0,0,1,0
2.0,4,10.6,7.2,9.1,209,0,0,0,0,1,0,0,0,1,0
3.0,6,9.2,6.4,7.9,213,1,0,0,0,0,0,0,0,1,0
3.0,6,11.9,8.0,10.1,232,0,0,0,0,1,0,0,0,1,0
3.0,6,12.5,8.6,10.7,246,0,0,0,0,1,0,0,0,1,0
4.4,8,14.4,9.6,12.2,281,0,0,0,0,1,0,0,0,1,0
4.4,8,15.0,9.8,12.7,292,0,0,0,0,1,0,0,0,1,0
3.0,6,11.9,8.0,10.1,232,0,0,0,0,1,0,1,0,0,0
4.4,8,15.0,9.8,12.7,292,0,0,0,0,1,0,1,0,0,0
4.4,8,14.4,9.6,12.2,281,0,0,0,0,1,0,1,0,0,0
4.4,8,15.0,9.8,12.7,292,0,0,0,0,1,0,1,0,0,0
3.0,6,12.5,8.6,10.7,246,0,0,0,0,1,0,0,0,1,0
4.4,8,15.0,9.8,12.7,292,0,0,0,0,1,0,0,0,1,0
4.4,8,15.0,9.8,12.7,292,0,0,0,0,1,0,0,0,1,0
6.0,12,18.7,11.5,15.5,356,0,0,0,0,1,0,0,0,1,0
3.0,6,9.2,7.1,8.3,191,0,0,0,0,1,0,1,0,0,0
3.0,6,10.5,7.9,9.3,214,0,0,0,0,1,0,0,0,1,0
3.0,6,10.5,7.6,9.2,212,0,0,0,0,1,0,0,0,1,0
4.4,8,15.0,9.8,12.7,292,0,0,0,0,1,0,0,0,1,0
4.4,8,15.0,9.8,12.7,292,0,0,0,0,1,0,0,0,1,0
4.4,8,17.3,11.5,14.7,338,0,0,0,0,1,0,0,0,1,0
4.4,8,16.2,10.9,13.8,317,0,0,0,0,1,0,0,0,1,0
4.4,8,17.3,11.5,14.7,338,0,0,0,0,1,0,1,0,0,0
4.4,8,16.2,10.9,13.8,317,0,0,0,0,1,0,1,0,0,0
4.4,8,17.3,11.5,14.7,338,0,0,0,0,1,0,1,0,0,0
4.4,8,16.2,10.9,13.8,317,0,0,0,0,1,0,1,0,0,0
4.4,8,17.3,11.5,14.7,338,0,0,0,0,1,0,1,0,0,0
4.4,8,16.2,10.9,13.8,317,0,0,0,0,1,0,1,0,0,0
2.0,4,10.6,7.2,9.1,209,0,0,0,0,1,1,0,0,0,0
3.0,6,13.2,8.9,11.3,260,0,0,0,0,1,1,0,0,0,0
2.0,4,11.2,8.5,10.0,230,0,0,0,0,1,1,0,0,0,0
3.0,6,12.6,9.1,11.0,253,0,0,0,0,1,1,0,0,0,0
3.0,6,12.9,8.8,11.1,255,0,0,0,0,1,1,0,0,0,0
4.4,8,16.3,10.9,13.9,320,0,0,0,0,1,1,0,0,0,0
4.4,8,18.1,13.7,16.1,370,0,0,0,0,1,1,0,0,0,0
3.0,6,13.6,9.8,11.9,274,0,0,0,0,1,1,0,0,0,0
4.4,8,16.4,11.3,14.1,324,0,0,0,0,1,1,0,0,0,0
2.0,4,10.8,7.1,9.1,209,0,0,0,0,1,0,1,0,0,0
2.0,4,10.4,6.7,8.7,200,0,0,0,0,1,0,1,0,0,0
3.0,6,13.7,10.1,12.1,278,0,0,0,0,1,0,1,0,0,0
3.0,6,12.7,9.0,11.0,253,0,0,0,0,1,0,1,0,0,0
3.0,6,13.7,10.1,12.1,278,0,0,0,0,1,0,1,0,0,0
3.6,6,14.3,9.9,12.3,283,0,0,0,1,0,1,0,0,0,0
3.6,6,14.6,10.2,12.6,290,0,0,0,1,0,1,0,0,0,0
1.4,4,9.5,7.2,8.5,196,0,0,0,1,0,1,0,0,0,0
1.4,4,10.2,8.0,9.2,212,0,0,0,1,0,1,0,0,0,0
3.6,6,13.7,8.7,11.5,264,0,0,0,1,0,0,0,0,1,0
3.6,6,18.4,12.2,15.6,250,0,1,0,0,0,0,0,0,1,0
3.6,6,13.7,8.9,11.5,264,0,0,0,1,0,0,0,0,1,0
3.6,6,19.4,13.0,16.5,264,0,1,0,0,0,0,0,0,1,0
2.4,4,9.6,6.5,8.2,189,0,0,0,1,0,0,0,0,1,0
2.0,4,11.5,7.9,9.9,228,0,0,0,0,1,0,0,0,1,0
2.0,4,11.6,7.5,9.8,225,0,0,0,0,1,0,0,0,1,0
2.0,4,12.3,8.7,10.7,246,0,0,0,0,1,0,0,0,1,0
2.4,4,9.6,6.5,8.2,189,0,0,0,1,0,0,0,0,1,0
2.0,4,11.5,7.9,9.9,228,0,0,0,0,1,0,1,0,0,0
2.0,4,11.6,7.5,9.8,225,0,0,0,0,1,0,1,0,0,0
2.4,4,11.3,7.4,9.5,218,0,0,0,1,0,0,1,0,0,0
2.0,4,11.3,7.5,9.6,221,0,0,0,0,1,0,1,0,0,0
2.0,4,12.1,7.9,10.2,235,0,0,0,0,1,0,1,0,0,0
2.5,4,10.5,7.2,9.0,207,0,0,0,1,0,0,1,0,0,0
3.6,6,12.8,8.5,10.9,251,0,0,0,1,0,0,1,0,0,0
2.0,4,11.8,8.1,10.1,232,0,0,0,0,1,0,1,0,0,0
3.6,6,13.1,9.0,11.3,260,0,0,0,1,0,0,1,0,0,0
3.6,6,13.2,8.7,11.2,258,0,0,0,1,0,0,0,0,1,0
3.6,6,13.3,9.0,11.4,262,0,0,0,1,0,0,0,0,1,0
2.0,4,11.9,7.9,10.1,232,0,0,0,0,1,0,0,0,1,0
3.6,6,12.9,8.2,10.8,248,0,0,0,1,0,0,0,0,1,0
2.0,4,12.6,8.5,10.8,248,0,0,0,0,1,0,0,0,1,0
3.6,6,13.1,9.0,11.3,260,0,0,0,1,0,0,0,0,1,0
3.6,6,15.1,9.9,12.8,294,0,0,0,0,1,0,0,0,1,0
3.0,6,12.7,8.9,11.0,253,0,0,0,1,0,0,0,0,1,0
3.6,6,13.3,8.9,11.3,260,0,0,0,1,0,0,0,0,1,0
3.0,6,12.8,9.1,11.1,255,0,0,0,1,0,0,0,0,1,0
3.6,6,13.3,9.0,11.4,262,0,0,0,1,0,0,0,0,1,0
6.2,8,19.7,12.9,16.6,382,0,0,0,0,1,0,0,0,1,0
6.2,8,16.7,12.5,14.8,340,0,0,0,0,1,0,0,0,1,0
6.2,8,19.7,12.9,16.6,382,0,0,0,0,1,0,0,0,1,0
6.2,8,16.7,12.5,14.8,340,0,0,0,0,1,0,0,0,1,0
6.2,8,19.7,12.9,16.6,382,0,0,0,0,1,0,0,0,1,0
6.2,8,16.7,12.5,14.8,340,0,0,0,0,1,0,0,0,1,0
6.2,8,17.0,11.8,14.7,338,0,0,0,0,1,1,0,0,0,0
6.2,8,23.3,16.1,20.1,322,0,1,0,0,0,1,0,0,0,0
6.2,8,18.8,13.4,16.4,377,0,0,0,0,1,1,0,0,0,0
6.2,8,25.7,17.8,22.1,354,0,1,0,0,0,1,0,0,0,0
3.6,6,14.3,9.8,12.3,283,0,0,0,1,0,1,0,0,0,0
3.6,6,14.8,10.4,12.8,294,0,0,0,1,0,1,0,0,0,0
3.6,6,13.6,8.6,11.4,262,0,0,0,1,0,0,0,0,1,0
3.6,6,14.0,9.1,11.8,271,0,0,0,1,0,0,0,0,1,0
3.6,6,14.8,9.8,12.6,290,0,0,0,0,1,0,0,0,1,0
3.6,6,13.2,8.7,11.2,258,0,0,0,1,0,0,1,0,0,0
3.6,6,14.2,8.6,11.7,269,0,0,0,1,0,0,1,0,0,0
3.6,6,12.7,7.9,10.5,242,0,0,0,1,0,0,1,0,0,0
6.2,8,15.3,9.8,12.8,294,0,0,0,0,1,0,1,0,0,0
6.2,8,15.0,9.9,12.7,292,0,0,0,0,1,0,1,0,0,0
6.2,8,19.7,12.9,16.6,382,0,0,0,0,1,0,1,0,0,0
6.2,8,16.7,12.5,14.8,340,0,0,0,0,1,0,1,0,0,0
6.2,8,14.9,8.5,12.0,276,0,0,0,0,1,0,1,0,0,0
6.2,8,13.7,8.2,11.2,258,0,0,0,0,1,0,1,0,0,0
1.4,4,9.1,6.3,7.8,179,0,0,0,1,0,0,0,0,1,0
1.4,4,9.1,6.3,7.8,179,0,0,0,1,0,0,0,0,1,0
1.8,4,10.5,6.7,8.8,202,0,0,0,1,0,0,0,0,1,0
1.8,4,9.5,6.5,8.2,189,0,0,0,1,0,0,0,0,1,0
2.0,4,8.7,5.1,7.1,192,1,0,0,0,0,0,0,0,1,0
1.4,4,9.1,6.0,7.7,177,0,0,0,1,0,0,0,0,1,0
1.4,4,8.4,5.6,7.1,163,0,0,0,1,0,0,0,0,1,0
2.4,4,10.5,7.3,9.1,209,0,0,0,1,0,1,0,0,0,0
3.6,6,13.9,9.6,12.0,276,0,0,0,1,0,1,0,0,0,0
3.6,6,18.8,13.1,16.2,259,0,1,0,0,0,1,0,0,0,0
2.4,4,11.5,8.2,10.0,230,0,0,0,1,0,1,0,0,0,0
3.6,6,14.8,9.9,12.6,290,0,0,0,1,0,1,0,0,0,0
3.6,6,19.8,13.6,17.0,272,0,1,0,0,0,1,0,0,0,0
4.3,6,17.1,12.7,15.1,347,0,0,0,1,0,0,0,1,0,0
5.3,8,18.0,13.4,15.9,366,0,0,0,1,0,0,0,1,0,0
5.3,8,23.5,17.7,20.9,334,0,1,0,0,0,0,0,1,0,0
5.3,8,18.3,14.2,16.5,380,0,0,0,1,0,0,0,1,0,0
5.3,8,23.7,18.8,21.5,344,0,1,0,0,0,0,0,1,0,0
5.3,8,18.6,13.9,16.5,380,0,0,0,1,0,0,0,1,0,0
5.3,8,23.9,18.5,21.5,344,0,1,0,0,0,0,0,1,0,0
5.3,8,18.3,14.2,16.5,380,0,0,0,1,0,0,0,1,0,0
5.3,8,25.3,19.3,22.6,362,0,1,0,0,0,0,0,1,0,0
5.3,8,18.6,13.9,16.5,380,0,0,0,1,0,0,0,1,0,0
5.3,8,23.9,18.5,21.5,344,0,1,0,0,0,0,0,1,0,0
5.3,8,18.3,14.2,16.5,380,0,0,0,1,0,0,0,1,0,0
5.3,8,25.3,19.3,22.6,362,0,1,0,0,0,0,0,1,0,0
4.8,8,21.1,14.2,18.0,414,0,0,0,1,0,0,0,1,0,0
6.0,8,21.9,15.0,18.8,432,0,0,0,1,0,0,0,1,0,0
6.0,8,30.0,20.4,25.7,411,0,1,0,0,0,0,0,1,0,0
4.8,8,21.3,14.3,18.2,419,0,0,0,1,0,0,0,1,0,0
6.0,8,22.1,15.0,18.9,435,0,0,0,1,0,0,0,1,0,0
6.0,8,30.2,20.5,25.8,413,0,1,0,0,0,0,0,1,0,0
2.5,4,11.3,7.5,9.6,221,0,0,0,1,0,0,0,0,1,0
3.6,6,12.6,8.2,10.6,244,0,0,0,1,0,0,0,0,1,0
3.6,6,16.7,11.3,14.3,229,0,1,0,0,0,0,0,0,1,0
2.4,4,10.0,7.0,8.7,200,0,0,0,1,0,0,0,0,1,0
2.0,4,11.5,7.9,9.9,228,0,0,0,0,1,0,0,0,1,0
2.5,4,9.3,6.4,8.0,184,0,0,0,1,0,0,0,0,1,0
2.4,4,12.2,8.6,10.6,244,0,0,0,1,0,1,0,0,0,0
2.4,4,11.8,8.3,10.2,235,0,0,0,1,0,1,0,0,0,0
4.3,6,13.4,9.9,11.8,271,0,0,0,1,0,0,0,0,0,1
4.3,6,18.9,14.2,16.8,269,0,1,0,0,0,0,0,0,0,1
5.3,8,14.6,10.3,12.7,292,0,0,0,1,0,0,0,0,0,1
5.3,8,19.5,13.7,16.9,270,0,1,0,0,0,0,0,0,0,1
6.2,8,16.3,11.4,14.1,324,0,0,0,0,1,0,0,0,0,1
4.3,6,14.2,10.6,12.6,290,0,0,0,1,0,0,0,0,0,1
4.3,6,20.0,15.1,17.8,285,0,1,0,0,0,0,0,0,0,1
5.3,8,14.9,10.6,13.0,299,0,0,0,1,0,0,0,0,0,1
5.3,8,19.9,14.2,17.3,277,0,1,0,0,0,0,0,0,0,1
6.2,8,16.4,11.7,14.3,329,0,0,0,0,1,0,0,0,0,1
1.4,4,9.1,6.7,8.0,184,0,0,0,1,0,0,1,0,0,0
1.4,4,8.5,6.2,7.5,173,0,0,0,1,0,0,1,0,0,0
1.8,4,9.6,6.6,8.3,191,0,0,0,1,0,0,1,0,0,0
1.8,4,8.9,6.7,7.9,182,0,0,0,1,0,0,1,0,0,0
1.4,4,9.4,7.0,8.3,191,0,0,0,1,0,0,1,0,0,0
1.4,4,8.8,7.0,8.0,184,0,0,0,1,0,0,1,0,0,0
1.4,4,9.1,6.7,8.0,184,0,0,0,1,0,0,0,0,1,0
1.4,4,8.5,6.2,7.5,172,0,0,0,1,0,0,0,0,1,0
1.8,4,9.6,6.6,8.3,191,0,0,0,1,0,0,0,0,1,0
1.8,4,8.9,6.7,7.9,182,0,0,0,1,0,0,0,0,1,0
1.4,4,9.4,7.0,8.3,191,0,0,0,1,0,0,0,0,1,0
1.4,4,8.8,7.0,8.0,184,0,0,0,1,0,0,0,0,1,0
1.2,4,7.7,6.0,6.9,159,0,0,0,1,0,0,1,0,0,0
1.2,4,7.6,6.0,6.9,159,0,0,0,1,0,0,1,0,0,0
5.3,8,16.0,11.1,13.8,317,0,0,0,1,0,1,0,0,0,0
5.3,8,21.5,14.6,18.4,294,0,1,0,0,0,1,0,0,0,0
5.3,8,16.0,11.1,13.8,317,0,0,0,1,0,1,0,0,0,0
5.3,8,21.5,14.6,18.4,294,0,1,0,0,0,1,0,0,0,0
5.3,8,16.0,11.1,13.8,317,0,0,0,1,0,1,0,0,0,0
5.3,8,21.5,14.6,18.4,294,0,1,0,0,0,1,0,0,0,0
5.3,8,16.0,11.1,13.8,317,0,0,0,1,0,1,0,0,0,0
5.3,8,21.5,14.6,18.4,294,0,1,0,0,0,1,0,0,0,0
3.6,6,14.3,9.9,12.3,283,0,0,0,1,0,1,0,0,0,0
3.6,6,14.6,10.2,12.6,290,0,0,0,1,0,1,0,0,0,0
1.4,4,9.4,7.1,8.4,193,0,0,0,1,0,1,0,0,0,0
1.4,4,9.1,6.8,8.1,186,0,0,0,1,0,1,0,0,0,0
1.4,4,10.0,7.8,9.0,207,0,0,0,1,0,1,0,0,0,0
3.6,6,12.4,7.7,10.3,237,0,0,0,1,0,0,0,0,1,0
2.4,4,11.7,8.2,10.1,232,0,0,0,1,0,0,1,0,0,0
2.4,4,12.9,8.1,10.7,246,0,0,0,1,0,0,1,0,0,0
3.6,6,12.5,8.1,10.5,242,0,0,0,1,0,0,1,0,0,0
3.6,6,17.0,11.2,14.4,230,0,1,0,0,0,0,1,0,0,0
2.4,4,11.2,8.0,9.8,225,0,0,0,1,0,0,0,0,1,0
2.4,4,12.0,7.6,10.0,230,0,0,0,1,0,0,0,0,1,0
3.6,6,12.5,8.1,10.5,242,0,0,0,1,0,0,0,0,1,0
3.6,6,17.0,11.2,14.4,230,0,1,0,0,0,0,0,0,1,0
5.7,8,15.8,9.2,12.8,294,0,0,0,1,0,0,0,0,1,0
3.6,6,12.8,8.6,10.9,251,0,0,0,1,0,0,0,0,1,0
5.7,8,16.1,10.0,13.4,308,0,0,0,1,0,0,0,0,1,0
3.6,6,12.8,8.6,10.9,251,0,0,0,1,0,0,0,0,1,0
3.6,6,17.3,11.7,14.8,237,0,1,0,0,0,0,0,0,1,0
3.6,6,12.4,7.7,10.3,237,0,0,0,1,0,0,0,0,1,0
3.6,6,16.8,10.3,13.9,222,0,1,0,0,0,0,0,0,1,0
6.4,8,16.7,10.3,13.8,317,0,0,0,0,1,0,0,0,1,0
3.6,6,14.1,9.5,12.0,276,0,0,0,1,0,1,0,0,0,0
3.6,6,19.7,13.3,16.8,269,0,1,0,0,0,1,0,0,0,0
2.4,4,11.2,8.0,9.8,225,0,0,0,1,0,0,0,0,1,0
2.4,4,12.0,7.6,10.0,230,0,0,0,1,0,0,0,0,1,0
3.6,6,12.5,8.1,10.5,242,0,0,0,1,0,0,0,0,1,0
3.6,6,17.0,11.2,14.4,230,0,1,0,0,0,0,0,0,1,0
3.6,6,13.2,8.7,11.2,258,0,0,0,1,0,0,0,0,1,0
5.7,8,15.6,10.0,13.1,301,0,0,0,1,0,0,0,0,1,0
5.7,8,15.8,9.2,12.8,294,0,0,0,1,0,0,0,0,1,0
6.4,8,16.8,10.4,13.9,320,0,0,0,0,1,0,0,0,1,0
6.4,8,16.7,10.3,13.8,317,0,0,0,0,1,0,0,0,1,0
3.6,6,13.2,8.7,11.2,258,0,0,0,1,0,0,0,0,1,0
3.6,6,12.4,7.7,10.3,237,0,0,0,1,0,0,0,0,1,0
5.7,8,15.8,9.2,12.8,294,0,0,0,1,0,0,0,0,1,0
3.6,6,12.8,8.6,10.9,251,0,0,0,1,0,0,0,0,1,0
5.7,8,16.1,10.0,13.4,308,0,0,0,1,0,0,0,0,1,0
3.6,6,12.8,8.6,10.9,251,0,0,0,1,0,0,0,0,1,0
3.6,6,17.3,11.7,14.8,237,0,1,0,0,0,0,0,0,1,0
3.6,6,13.2,8.7,11.2,258,0,0,0,1,0,0,0,0,1,0
3.6,6,18.3,12.6,15.7,251,0,1,0,0,0,0,0,0,1,0
3.6,6,12.3,7.6,10.2,235,0,0,0,1,0,0,0,0,1,0
3.6,6,16.8,10.3,13.9,222,0,1,0,0,0,0,0,0,1,0
6.4,8,16.7,10.3,13.8,317,0,0,0,0,1,0,0,0,1,0
2.0,4,9.4,6.5,8.1,186,0,0,0,1,0,0,0,0,1,0
2.4,4,10.1,6.8,8.6,198,0,0,0,1,0,0,0,0,1,0
2.4,4,10.5,6.7,8.8,202,0,0,0,1,0,0,0,0,1,0
2.0,4,9.9,7.0,8.6,198,0,0,0,1,0,0,0,0,1,0
2.0,4,14.2,9.8,12.2,195,0,1,0,0,0,0,0,0,1,0
2.4,4,10.6,7.5,9.2,212,0,0,0,1,0,0,0,0,1,0
2.4,4,10.2,7.0,8.8,202,0,0,0,1,0,0,0,0,1,0
1.4,4,8.4,5.9,7.3,168,0,0,0,1,0,0,0,0,1,0
1.4,4,8.5,5.8,7.3,168,0,0,0,1,0,0,0,0,1,0
5.7,8,17.3,10.8,14.4,331,0,0,0,1,0,1,0,0,0,0
3.6,6,13.9,9.8,12.1,278,0,0,0,1,0,1,0,0,0,0
3.6,6,17.7,13.0,15.6,250,0,1,0,0,0,1,0,0,0,0
3.6,6,13.7,9.4,11.8,271,0,0,0,1,0,1,0,0,0,0
3.6,6,19.2,13.1,16.5,264,0,1,0,0,0,1,0,0,0,0
2.4,4,12.7,9.1,11.1,255,0,0,0,1,0,1,0,0,0,0
3.6,6,14.5,9.9,12.4,285,0,0,0,1,0,1,0,0,0,0
3.6,6,14.2,9.4,12.0,276,0,0,0,1,0,1,0,0,0,0
3.6,6,18.9,12.9,16.2,259,0,1,0,0,0,1,0,0,0,0
1.4,4,8.5,6.9,7.8,179,0,0,0,1,0,0,1,0,0,0
1.4,4,8.5,6.9,7.8,179,0,0,0,1,0,0,1,0,0,0
1.4,4,8.7,6.9,7.9,182,0,0,0,1,0,0,1,0,0,0
1.4,4,7.9,6.3,7.2,166,0,0,0,1,0,0,1,0,0,0
1.4,4,8.5,6.9,7.8,179,0,0,0,1,0,0,1,0,0,0
1.4,4,8.7,6.9,7.9,182,0,0,0,1,0,0,1,0,0,0
1.4,4,7.6,5.9,6.8,156,0,0,0,1,0,0,1,0,0,0
1.4,4,8.5,6.9,7.8,179,0,0,0,1,0,0,1,0,0,0
1.4,4,10.0,7.2,8.7,200,0,0,0,1,0,0,0,0,1,0
1.4,4,9.3,7.2,8.4,193,0,0,0,1,0,0,0,0,1,0
2.0,4,5.6,6.4,6.0,138,0,0,0,1,0,0,0,0,1,0
4.6,8,17.7,14.4,16.2,373,0,0,0,1,0,0,0,1,0,0
4.6,8,24.1,19.2,21.9,350,0,1,0,0,0,0,0,1,0,0
5.4,8,19.3,14.7,17.2,396,0,0,0,1,0,0,0,1,0,0
5.4,8,24.9,19.6,22.5,360,0,1,0,0,0,0,0,1,0,0
